Longitude,Latitude,2021-07-01 00:00:00Z,2021-07-02 00:00:00Z,2021-07-03 00:00:00Z,2021-07-04 00:00:00Z,2021-07-05 00:00:00Z,2021-07-06 00:00:00Z,2021-07-07 00:00:00Z,2021-07-08 00:00:00Z,2021-07-09 00:00:00Z,2021-07-10 00:00:00Z,2021-07-11 00:00:00Z,2021-07-12 00:00:00Z,2021-07-13 00:00:00Z,2021-07-14 00:00:00Z,2021-07-15 00:00:00Z,2021-07-16 00:00:00Z,2021-07-17 00:00:00Z,2021-07-18 00:00:00Z,2021-07-19 00:00:00Z,2021-07-20 00:00:00Z,2021-07-21 00:00:00Z,2021-07-22 00:00:00Z,2021-07-23 00:00:00Z,2021-07-24 00:00:00Z,2021-07-25 00:00:00Z,2021-07-26 00:00:00Z,2021-07-27 00:00:00Z,2021-07-28 00:00:00Z,2021-07-29 00:00:00Z,2021-07-30 00:00:00Z,2021-07-31 00:00:00Z,2021-08-01 00:00:00Z,2021-08-02 00:00:00Z,2021-08-03 00:00:00Z,2021-08-04 00:00:00Z,2021-08-05 00:00:00Z,2021-08-06 00:00:00Z,2021-08-07 00:00:00Z,2021-08-08 00:00:00Z,2021-08-09 00:00:00Z,2021-08-10 00:00:00Z,2021-08-11 00:00:00Z,2021-08-12 00:00:00Z,2021-08-13 00:00:00Z,2021-08-14 00:00:00Z,2021-08-15 00:00:00Z,2021-08-16 00:00:00Z,2021-08-17 00:00:00Z,2021-08-18 00:00:00Z,2021-08-19 00:00:00Z,2021-08-20 00:00:00Z,2021-08-21 00:00:00Z,2021-08-22 00:00:00Z,2021-08-23 00:00:00Z,2021-08-24 00:00:00Z,2021-08-25 00:00:00Z,2021-08-26 00:00:00Z,2021-08-27 00:00:00Z,2021-08-28 00:00:00Z,2021-08-29 00:00:00Z,2021-08-30 00:00:00Z,2021-08-31 00:00:00Z,2021-09-01 00:00:00Z,2021-09-02 00:00:00Z,2021-09-03 00:00:00Z,2021-09-04 00:00:00Z,2021-09-05 00:00:00Z,2021-09-06 00:00:00Z,2021-09-07 00:00:00Z,2021-09-08 00:00:00Z,2021-09-09 00:00:00Z,2021-09-10 00:00:00Z,2021-09-11 00:00:00Z,2021-09-12 00:00:00Z,2021-09-13 00:00:00Z,2021-09-14 00:00:00Z,2021-09-15 00:00:00Z,2021-09-16 00:00:00Z,2021-09-17 00:00:00Z,2021-09-18 00:00:00Z,2021-09-19 00:00:00Z,2021-09-20 00:00:00Z,2021-09-21 00:00:00Z,2021-09-22 00:00:00Z,2021-09-23 00:00:00Z,2021-09-24 00:00:00Z,2021-09-25 00:00:00Z,2021-09-26 00:00:00Z,2021-09-27 00:00:00Z,2021-09-28 00:00:00Z,2021-09-29 00:00:00Z,2021-09-30 00:00:00Z,2021-10-01 00:00:00Z,2021-10-02 00:00:00Z,2021-10-03 00:00:00Z,2021-10-04 00:00:00Z,2021-10-05 00:00:00Z,2021-10-06 00:00:00Z,2021-10-07 00:00:00Z,2021-10-08 00:00:00Z,2021-10-09 00:00:00Z,2021-10-10 00:00:00Z,2021-10-11 00:00:00Z,2021-10-12 00:00:00Z,2021-10-13 00:00:00Z,2021-10-14 00:00:00Z,2021-10-15 00:00:00Z,2021-10-16 00:00:00Z,2021-10-17 00:00:00Z,2021-10-18 00:00:00Z,2021-10-19 00:00:00Z,2021-10-20 00:00:00Z,2021-10-21 00:00:00Z,2021-10-22 00:00:00Z,2021-10-23 00:00:00Z,2021-10-24 00:00:00Z,2021-10-25 00:00:00Z,2021-10-26 00:00:00Z,2021-10-27 00:00:00Z,2021-10-28 00:00:00Z,2021-10-29 00:00:00Z,2021-10-30 00:00:00Z,2021-10-31 00:00:00Z,2021-11-01 00:00:00Z,2021-11-02 00:00:00Z,2021-11-03 00:00:00Z,2021-11-04 00:00:00Z,2021-11-05 00:00:00Z,2021-11-06 00:00:00Z,2021-11-07 00:00:00Z,2021-11-08 00:00:00Z,2021-11-09 00:00:00Z,2021-11-10 00:00:00Z,2021-11-11 00:00:00Z,2021-11-12 00:00:00Z,2021-11-13 00:00:00Z,2021-11-14 00:00:00Z,2021-11-15 00:00:00Z,2021-11-16 00:00:00Z,2021-11-17 00:00:00Z,2021-11-18 00:00:00Z,2021-11-19 00:00:00Z,2021-11-20 00:00:00Z,2021-11-21 00:00:00Z,2021-11-22 00:00:00Z,2021-11-23 00:00:00Z,2021-11-24 00:00:00Z,2021-11-25 00:00:00Z,2021-11-26 00:00:00Z,2021-11-27 00:00:00Z,2021-11-28 00:00:00Z,2021-11-29 00:00:00Z,2021-11-30 00:00:00Z,2021-12-01 00:00:00Z,2021-12-02 00:00:00Z,2021-12-03 00:00:00Z,2021-12-04 00:00:00Z,2021-12-05 00:00:00Z,2021-12-06 00:00:00Z,2021-12-07 00:00:00Z,2021-12-08 00:00:00Z,2021-12-09 00:00:00Z,2021-12-10 00:00:00Z,2021-12-11 00:00:00Z,2021-12-12 00:00:00Z,2021-12-13 00:00:00Z,2021-12-14 00:00:00Z,2021-12-15 00:00:00Z,2021-12-16 00:00:00Z,2021-12-17 00:00:00Z,2021-12-18 00:00:00Z,2021-12-19 00:00:00Z,2021-12-20 00:00:00Z,2021-12-21 00:00:00Z,2021-12-22 00:00:00Z,2021-12-23 00:00:00Z,2021-12-24 00:00:00Z,2021-12-25 00:00:00Z,2021-12-26 00:00:00Z,2021-12-27 00:00:00Z,2021-12-28 00:00:00Z,2021-12-29 00:00:00Z,2021-12-30 00:00:00Z,2021-12-31 00:00:00Z
-110.5999985,41.98333359,1.399999976,2.099999905,2.200000048,2.299999952,3.099999905,1.100000024,3.400000095,3.400000095,4.5,2.200000048,2,2.400000095,4.199999809,3.400000095,2.400000095,2.200000048,1.5,1.100000024,1.700000048,2.799999952,1.899999976,2.599999905,2.799999952,1.700000048,2.799999952,1.100000024,2.099999905,2.299999952,2.700000048,2,3.5,3.099999905,2.599999905,4.199999809,1.600000024,3,4.699999809,3.5,3.5,4.5,3.5,3.299999952,1.299999952,1.899999976,2.599999905,4,1.5,4.300000191,1.5,2.599999905,3.299999952,4.800000191,2.900000095,4.199999809,3,3.900000095,2.900000095,3.299999952,3.400000095,2.200000048,3.200000048,3.5,2,2.099999905,3.400000095,2.400000095,2.299999952,3.400000095,2.400000095,1.700000048,2,2.5,2.700000048,2.599999905,2.700000048,2.900000095,3.200000048,3,2.900000095,5,6.300000191,4.099999905,1.799999952,2.299999952,2.700000048,1.5,2.700000048,2.099999905,2,4.900000095,2.599999905,2,1.700000048,1.700000048,1.700000048,2.599999905,2.900000095,3,2.400000095,3.400000095,4.5,3.900000095,2.900000095,2.799999952,4.5,4.800000191,3.099999905,1.399999976,3.799999952,3.299999952,1.799999952,2.400000095,1.799999952,3.400000095,3.700000048,3.900000095,4.699999809,7.400000095,5.599999905,3,2.099999905,1.399999976,2.200000048,2.299999952,2.799999952,1.600000024,2.200000048,2.5,2.099999905,2.799999952,1.600000024,4.300000191,5.400000095,3.900000095,2.700000048,4,3.599999905,3.200000048,6.599999905,2.599999905,2.200000048,2.200000048,3.400000095,2.299999952,1.5,3.299999952,4.400000095,1.799999952,2,2,1.399999976,2.299999952,3.099999905,2.400000095,1.299999952,1.299999952,2.200000048,5.599999905,3.400000095,3.400000095,3.400000095,3.299999952,6,3.200000048,3,3.599999905,4.5,6.099999905,2.599999905,4.800000191,1.799999952,2.400000095,1.700000048,1.799999952,2.099999905,3.599999905,4.400000095,5.400000095,5.800000191,5.300000191,3.400000095,2.799999952,4.900000095,2.200000048
-110.5583344,41.98333359,1.399999976,2.099999905,2.200000048,2.200000048,3.200000048,1.100000024,3.200000048,3.400000095,4.599999905,2.200000048,1.899999976,2.5,4.199999809,3.5,2.400000095,2,1.399999976,1,1.700000048,2.900000095,1.899999976,2.599999905,2.900000095,1.600000024,2.799999952,1.100000024,2.200000048,2.299999952,2.400000095,1.799999952,3.700000048,3,2.599999905,4.199999809,1.700000048,2.900000095,4.699999809,3.599999905,3.400000095,4.599999905,3.599999905,3.400000095,1.200000048,1.799999952,2.599999905,3.900000095,1.399999976,4.199999809,1.399999976,2.700000048,3.400000095,4.699999809,2.900000095,4.199999809,2.900000095,3.799999952,2.799999952,3.400000095,3.5,2.099999905,3.099999905,3.400000095,1.899999976,2.099999905,3.400000095,2.400000095,2.299999952,3.5,2.5,1.700000048,1.899999976,2.299999952,2.799999952,2.5,2.700000048,2.900000095,3.299999952,3.099999905,2.900000095,4.800000191,6.300000191,4.099999905,1.799999952,2.200000048,2.700000048,1.5,2.700000048,2,1.799999952,4.800000191,2.400000095,1.899999976,1.600000024,1.700000048,1.700000048,2.400000095,2.700000048,3,2.200000048,3.400000095,4.599999905,4.099999905,2.799999952,2.599999905,4.699999809,4.900000095,3.299999952,1.200000048,3.5,3.200000048,1.600000024,2.299999952,1.600000024,3.099999905,3.799999952,3.700000048,4.599999905,7.400000095,5.800000191,3.200000048,2,1.399999976,2.099999905,2.200000048,2.799999952,1.700000048,2.099999905,2.5,2.099999905,2.799999952,1.399999976,4.199999809,5.599999905,4.099999905,3,4.099999905,3.799999952,3.299999952,6.699999809,2.599999905,2,2.299999952,3.400000095,2.5,1.299999952,3.200000048,4.400000095,2.099999905,2.099999905,2.200000048,1.700000048,2.400000095,3.299999952,2.599999905,1.5,1.600000024,2.299999952,5.800000191,3.599999905,3.599999905,3.5,3.299999952,6.099999905,3.299999952,2.799999952,3.299999952,4.400000095,6.099999905,2.599999905,5,1.700000048,2,1.799999952,2.099999905,1.799999952,3.599999905,4.599999905,5.400000095,5.900000095,5.300000191,3.5,2.799999952,5.099999905,2.299999952
-110.5166702,41.98333359,1.399999976,2.200000048,2.400000095,2.200000048,3.299999952,1.100000024,3.099999905,3.400000095,4.699999809,2.200000048,1.899999976,2.599999905,4.199999809,3.599999905,2.5,2,1.399999976,1,1.899999976,3.099999905,2,2.599999905,3,1.5,2.700000048,1.200000048,2.299999952,2.299999952,2.200000048,1.700000048,3.900000095,2.900000095,2.599999905,4.199999809,1.799999952,2.799999952,4.800000191,3.700000048,3.400000095,4.699999809,3.700000048,3.599999905,1.200000048,1.799999952,2.599999905,3.900000095,1.5,4.099999905,1.399999976,2.799999952,3.599999905,4.599999905,3.200000048,4.099999905,3,3.599999905,3,3.599999905,3.5,2,3,3.400000095,1.799999952,2.099999905,3.599999905,2.5,2.5,3.700000048,2.599999905,1.700000048,1.799999952,2.400000095,2.900000095,2.5,2.799999952,3,3.5,3.200000048,2.799999952,4.699999809,6.300000191,4.199999809,1.799999952,2.299999952,2.599999905,1.600000024,2.700000048,2.099999905,1.700000048,4.699999809,2.299999952,2,1.5,1.700000048,1.799999952,2.299999952,2.700000048,2.900000095,2.099999905,3.299999952,4.800000191,4.199999809,2.900000095,2.700000048,5,5.099999905,3.5,1.200000048,3.299999952,3.200000048,1.399999976,2.200000048,1.600000024,2.900000095,4,3.5,4.5,7.400000095,6,3.400000095,2,1.5,2.099999905,2.200000048,2.799999952,1.899999976,2.099999905,2.599999905,2.099999905,2.799999952,1.299999952,4.099999905,5.800000191,4.300000191,3.299999952,4.300000191,4,3.400000095,6.800000191,2.700000048,1.799999952,2.5,3.5,2.700000048,1.399999976,3.200000048,4.5,2.400000095,2.299999952,2.400000095,2.099999905,2.700000048,3.5,2.900000095,1.799999952,1.899999976,2.599999905,6.099999905,3.799999952,3.700000048,3.700000048,3.299999952,6.300000191,3.5,2.700000048,3.099999905,4.300000191,6.300000191,2.599999905,5.199999809,1.899999976,2.099999905,2,2.5,1.899999976,3.700000048,4.699999809,5.5,6,5.400000095,3.599999905,2.900000095,5.300000191,2.400000095
-110.4749985,41.98333359,1.299999952,2.299999952,2.5,2.200000048,3.5,1.100000024,3,3.400000095,4.800000191,2.200000048,1.799999952,2.700000048,4.099999905,3.700000048,2.599999905,1.899999976,1.399999976,0.899999976,2.099999905,3.200000048,2.099999905,2.700000048,3,1.5,2.700000048,1.200000048,2.400000095,2.299999952,2.099999905,1.700000048,4.199999809,2.799999952,2.700000048,4.199999809,1.899999976,2.700000048,4.800000191,3.799999952,3.5,4.800000191,3.799999952,3.700000048,1.200000048,1.799999952,2.599999905,3.799999952,1.5,4,1.5,2.799999952,3.700000048,4.599999905,3.400000095,4.099999905,3,3.5,3.099999905,3.700000048,3.599999905,1.899999976,3,3.299999952,1.799999952,2.099999905,3.700000048,2.599999905,2.700000048,3.900000095,2.799999952,1.799999952,1.700000048,2.5,3,2.5,2.799999952,3.099999905,3.700000048,3.299999952,2.799999952,4.699999809,6.300000191,4.400000095,1.899999976,2.299999952,2.599999905,1.600000024,2.700000048,2.200000048,1.700000048,4.599999905,2.200000048,2,1.5,1.700000048,2,2.200000048,2.599999905,2.900000095,2.099999905,3.299999952,4.900000095,4.300000191,3.099999905,2.700000048,5.199999809,5.300000191,3.700000048,1.299999952,3.099999905,3.200000048,1.200000048,2.099999905,1.600000024,2.700000048,4.099999905,3.299999952,4.400000095,7.5,6.199999809,3.700000048,2.099999905,1.700000048,2,2.200000048,2.799999952,2.099999905,2.099999905,2.700000048,2.099999905,2.799999952,1.200000048,4,6,4.599999905,3.599999905,4.400000095,4.199999809,3.599999905,6.900000095,2.799999952,1.600000024,2.700000048,3.599999905,2.900000095,1.5,3.200000048,4.5,2.700000048,2.599999905,2.599999905,2.5,3,3.700000048,3.200000048,2.099999905,2.099999905,2.900000095,6.300000191,4,3.900000095,3.900000095,3.299999952,6.400000095,3.700000048,2.5,2.799999952,4.199999809,6.400000095,2.599999905,5.400000095,2.099999905,2.099999905,2.299999952,2.900000095,2,3.700000048,4.800000191,5.599999905,6,5.5,3.700000048,3,5.5,2.400000095
-110.4333344,41.98333359,1.299999952,2.400000095,2.599999905,2.200000048,3.599999905,1.100000024,2.900000095,3.400000095,4.900000095,2.200000048,1.700000048,2.799999952,4.099999905,3.799999952,2.700000048,1.899999976,1.399999976,0.899999976,2.299999952,3.299999952,2.099999905,2.700000048,3.099999905,1.399999976,2.599999905,1.200000048,2.5,2.200000048,1.899999976,1.600000024,4.400000095,2.700000048,2.700000048,4.199999809,2,2.599999905,4.900000095,3.900000095,3.5,4.900000095,3.900000095,3.900000095,1.200000048,1.799999952,2.599999905,3.799999952,1.600000024,3.900000095,1.5,2.900000095,3.900000095,4.5,3.599999905,4.099999905,3.099999905,3.400000095,3.200000048,3.799999952,3.700000048,1.799999952,2.900000095,3.299999952,1.799999952,2.200000048,3.799999952,2.700000048,2.900000095,4.099999905,2.900000095,1.799999952,1.600000024,2.599999905,3.099999905,2.5,2.900000095,3.200000048,3.900000095,3.5,2.700000048,4.599999905,6.300000191,4.5,1.899999976,2.400000095,2.5,1.700000048,2.700000048,2.299999952,1.600000024,4.5,2.099999905,2,1.399999976,1.700000048,2.099999905,2.099999905,2.5,2.799999952,2,3.200000048,5.099999905,4.5,3.200000048,2.799999952,5.400000095,5.5,3.900000095,1.299999952,2.900000095,3.099999905,1.100000024,2,1.600000024,2.5,4.300000191,3.200000048,4.300000191,7.5,6.400000095,3.900000095,2.200000048,1.799999952,2,2.200000048,2.799999952,2.400000095,2.200000048,2.900000095,2.200000048,2.900000095,1.100000024,3.900000095,6.099999905,4.800000191,3.900000095,4.599999905,4.400000095,3.799999952,7,2.900000095,1.5,2.900000095,3.599999905,3.099999905,1.600000024,3.299999952,4.599999905,3.099999905,2.900000095,2.799999952,2.900000095,3.299999952,3.900000095,3.5,2.400000095,2.400000095,3.299999952,6.599999905,4.199999809,4.099999905,4.099999905,3.299999952,6.5,3.799999952,2.400000095,2.599999905,4.099999905,6.5,2.5,5.599999905,2.299999952,2.099999905,2.5,3.299999952,2,3.799999952,4.900000095,5.699999809,6.099999905,5.5,3.799999952,3.099999905,5.699999809,2.5
-110.3916702,41.98333359,1.299999952,2.5,2.799999952,2.299999952,3.700000048,1.200000048,2.799999952,3.5,5.099999905,2.200000048,1.600000024,2.900000095,4.199999809,4,3,1.899999976,1.5,1,2.599999905,3.5,2.200000048,2.700000048,3.200000048,1.399999976,2.599999905,1.299999952,2.599999905,2.299999952,2,1.799999952,4.699999809,2.700000048,2.799999952,4.199999809,2.099999905,2.599999905,5,4,3.700000048,5,4.099999905,4,1.200000048,1.799999952,2.599999905,3.700000048,1.700000048,3.900000095,1.700000048,3,4,4.400000095,3.900000095,4.099999905,3.200000048,3.400000095,3.5,3.900000095,3.799999952,1.799999952,3,3.299999952,1.799999952,2.200000048,4,2.799999952,3.099999905,4.400000095,3.099999905,1.899999976,1.700000048,2.799999952,3.200000048,2.5,3,3.299999952,4.099999905,3.599999905,2.799999952,4.599999905,6.300000191,4.599999905,2,2.599999905,2.5,1.799999952,2.799999952,2.5,1.799999952,4.400000095,2.299999952,2.200000048,1.399999976,1.799999952,2.299999952,2.099999905,2.5,2.799999952,2.099999905,3.200000048,5.300000191,4.599999905,3.299999952,3.200000048,5.699999809,5.699999809,4.199999809,1.399999976,2.700000048,3.099999905,1.100000024,2,1.799999952,2.400000095,4.400000095,3,4.199999809,7.599999905,6.599999905,4.099999905,2.299999952,2.099999905,2.099999905,2.200000048,2.799999952,2.599999905,2.400000095,3,2.200000048,2.900000095,1,3.900000095,6.300000191,5.099999905,4.199999809,4.800000191,4.599999905,3.900000095,7.199999809,3,1.399999976,3.200000048,3.700000048,3.299999952,1.899999976,3.400000095,4.599999905,3.400000095,3.200000048,3,3.200000048,3.599999905,4.099999905,3.799999952,2.799999952,2.700000048,3.599999905,6.900000095,4.400000095,4.300000191,4.400000095,3.400000095,6.699999809,4,2.299999952,2.400000095,4,6.699999809,2.599999905,5.800000191,2.599999905,2.400000095,2.799999952,3.799999952,2.299999952,3.900000095,5.099999905,5.800000191,6.199999809,5.599999905,4,3.200000048,6,2.599999905
-110.3499985,41.98333359,1.299999952,2.599999905,3,2.400000095,3.900000095,1.200000048,2.700000048,3.5,5.199999809,2.200000048,1.600000024,3,4.199999809,4.099999905,3.200000048,2,1.600000024,1,2.900000095,3.599999905,2.299999952,2.799999952,3.299999952,1.5,2.599999905,1.5,2.700000048,2.299999952,2.200000048,1.899999976,4.900000095,2.700000048,2.799999952,4.199999809,2.099999905,2.599999905,5,4.199999809,3.900000095,5.199999809,4.199999809,4.199999809,1.299999952,1.899999976,2.700000048,3.700000048,1.799999952,3.900000095,1.899999976,3.099999905,4.199999809,4.400000095,4.199999809,4.099999905,3.299999952,3.299999952,3.700000048,4.099999905,3.900000095,1.799999952,3,3.299999952,1.899999976,2.200000048,4.099999905,3,3.299999952,4.599999905,3.200000048,2,1.799999952,2.900000095,3.299999952,2.599999905,3.099999905,3.400000095,4.300000191,3.799999952,2.799999952,4.599999905,6.300000191,4.699999809,2.099999905,2.700000048,2.400000095,1.899999976,2.900000095,2.799999952,1.899999976,4.400000095,2.5,2.299999952,1.399999976,1.799999952,2.5,2.099999905,2.5,2.799999952,2.099999905,3.099999905,5.400000095,4.800000191,3.5,3.700000048,6,5.900000095,4.400000095,1.600000024,2.599999905,3.099999905,1,2,2,2.299999952,4.599999905,2.900000095,4.099999905,7.699999809,6.800000191,4.300000191,2.5,2.299999952,2.099999905,2.200000048,2.900000095,2.799999952,2.5,3.200000048,2.200000048,3,0.899999976,3.799999952,6.5,5.400000095,4.5,4.900000095,4.900000095,4.099999905,7.300000191,3.099999905,1.399999976,3.400000095,3.799999952,3.5,2.200000048,3.599999905,4.699999809,3.700000048,3.599999905,3.299999952,3.599999905,3.900000095,4.300000191,4.099999905,3.099999905,3,4,7.099999905,4.599999905,4.5,4.599999905,3.5,6.800000191,4.199999809,2.200000048,2.200000048,3.900000095,6.900000095,2.599999905,6,3,2.700000048,3.099999905,4.199999809,2.599999905,3.900000095,5.199999809,5.900000095,6.300000191,5.699999809,4.099999905,3.200000048,6.199999809,2.700000048
-110.3083344,41.98333359,1.299999952,2.700000048,3.200000048,2.5,4,1.299999952,2.599999905,3.599999905,5.300000191,2.200000048,1.5,3.099999905,4.300000191,4.199999809,3.400000095,2.099999905,1.700000048,1.100000024,3.200000048,3.799999952,2.400000095,2.799999952,3.400000095,1.5,2.599999905,1.600000024,2.700000048,2.400000095,2.299999952,2.099999905,5.199999809,2.599999905,2.900000095,4.199999809,2.200000048,2.599999905,5.099999905,4.300000191,4,5.300000191,4.300000191,4.400000095,1.399999976,2,2.700000048,3.700000048,1.899999976,3.900000095,2.099999905,3.200000048,4.300000191,4.300000191,4.400000095,4.099999905,3.400000095,3.299999952,3.900000095,4.199999809,4,1.700000048,3,3.299999952,2,2.299999952,4.300000191,3.099999905,3.599999905,4.800000191,3.299999952,2.099999905,1.899999976,3.099999905,3.5,2.599999905,3.200000048,3.5,4.5,3.900000095,2.799999952,4.599999905,6.400000095,4.800000191,2.299999952,2.799999952,2.400000095,1.899999976,3,3,2,4.400000095,2.700000048,2.5,1.299999952,1.899999976,2.700000048,2.099999905,2.400000095,2.700000048,2.200000048,3.099999905,5.599999905,4.900000095,3.700000048,4.099999905,6.300000191,6.099999905,4.599999905,1.700000048,2.5,3.200000048,1,2,2.200000048,2.200000048,4.800000191,2.799999952,4,7.699999809,7,4.599999905,2.700000048,2.5,2.200000048,2.299999952,2.900000095,3.099999905,2.700000048,3.400000095,2.299999952,3,0.800000012,3.799999952,6.699999809,5.599999905,4.800000191,5.099999905,5.099999905,4.300000191,7.400000095,3.299999952,1.399999976,3.599999905,3.900000095,3.700000048,2.5,3.700000048,4.699999809,4.099999905,3.900000095,3.5,4,4.199999809,4.5,4.400000095,3.400000095,3.400000095,4.300000191,7.400000095,4.800000191,4.699999809,4.800000191,3.5,7,4.400000095,2.099999905,2,3.799999952,7.199999809,2.700000048,6.199999809,3.299999952,3,3.400000095,4.599999905,2.900000095,4,5.300000191,6,6.400000095,5.800000191,4.199999809,3.299999952,6.400000095,2.799999952
-110.2666702,41.98333359,1.299999952,2.700000048,3.200000048,2.400000095,4,1.200000048,2.5,3.5,5.300000191,2.099999905,1.5,3,4.199999809,4.099999905,3.400000095,2.099999905,1.700000048,1,3.200000048,3.799999952,2.400000095,2.799999952,3.299999952,1.5,2.599999905,1.5,2.700000048,2.299999952,2.299999952,2.099999905,5.199999809,2.599999905,2.900000095,4.199999809,2.200000048,2.599999905,5.099999905,4.300000191,4,5.300000191,4.300000191,4.300000191,1.399999976,1.899999976,2.700000048,3.599999905,1.799999952,3.799999952,2.099999905,3.099999905,4.300000191,4.300000191,4.400000095,4.099999905,3.299999952,3.299999952,3.900000095,4.099999905,3.900000095,1.700000048,3,3.299999952,2,2.299999952,4.199999809,3.099999905,3.5,4.699999809,3.299999952,2,1.899999976,3.099999905,3.5,2.599999905,3.200000048,3.5,4.5,3.799999952,2.700000048,4.5,6.300000191,4.800000191,2.200000048,2.799999952,2.299999952,1.899999976,3,2.900000095,2,4.300000191,2.700000048,2.400000095,1.299999952,1.799999952,2.700000048,2,2.400000095,2.700000048,2.200000048,3.099999905,5.599999905,4.900000095,3.700000048,4.199999809,6.199999809,6.099999905,4.599999905,1.700000048,2.400000095,3.099999905,1,2,2.099999905,2.200000048,4.699999809,2.799999952,4,7.699999809,7,4.599999905,2.700000048,2.400000095,2.200000048,2.299999952,2.900000095,3,2.599999905,3.299999952,2.200000048,2.900000095,0.800000012,3.700000048,6.699999809,5.599999905,4.800000191,5,5,4.199999809,7.300000191,3.299999952,1.399999976,3.400000095,3.900000095,3.599999905,2.400000095,3.5,4.699999809,4,3.799999952,3.400000095,3.900000095,4,4.400000095,4.300000191,3.299999952,3.200000048,4.199999809,7.300000191,4.699999809,4.599999905,4.599999905,3.5,7,4.400000095,2,2,3.799999952,7.099999905,2.599999905,6.099999905,3.299999952,2.900000095,3.200000048,4.400000095,2.700000048,3.799999952,5.099999905,5.800000191,6.199999809,5.599999905,4.199999809,3.200000048,6.199999809,2.799999952
-110.2249985,41.98333359,1.299999952,2.599999905,3.099999905,2.400000095,4.099999905,1.200000048,2.5,3.5,5.300000191,2.099999905,1.5,3,4.099999905,4.099999905,3.299999952,2.099999905,1.600000024,1,3.200000048,3.799999952,2.299999952,2.799999952,3.299999952,1.399999976,2.599999905,1.5,2.599999905,2.299999952,2.299999952,2.099999905,5.199999809,2.599999905,2.900000095,4.199999809,2.200000048,2.599999905,5.099999905,4.199999809,3.900000095,5.199999809,4.300000191,4.300000191,1.399999976,1.899999976,2.700000048,3.5,1.700000048,3.799999952,2,3,4.199999809,4.199999809,4.400000095,4,3.299999952,3.200000048,3.900000095,4.099999905,3.900000095,1.600000024,2.900000095,3.299999952,1.899999976,2.299999952,4.199999809,3.099999905,3.5,4.599999905,3.200000048,1.899999976,1.899999976,3,3.5,2.599999905,3.200000048,3.5,4.400000095,3.799999952,2.700000048,4.400000095,6.199999809,4.900000095,2.200000048,2.700000048,2.299999952,1.899999976,2.900000095,2.900000095,1.899999976,4.300000191,2.700000048,2.400000095,1.299999952,1.799999952,2.599999905,2,2.400000095,2.700000048,2.200000048,3.099999905,5.5,4.900000095,3.599999905,4.199999809,6.199999809,6.099999905,4.599999905,1.600000024,2.299999952,3.099999905,1,2,2,2.200000048,4.599999905,2.799999952,4,7.699999809,7,4.5,2.599999905,2.400000095,2.200000048,2.299999952,2.799999952,3,2.5,3.200000048,2.099999905,2.799999952,0.800000012,3.599999905,6.699999809,5.5,4.800000191,4.900000095,4.900000095,4,7.199999809,3.299999952,1.399999976,3.299999952,3.900000095,3.599999905,2.299999952,3.400000095,4.599999905,4,3.700000048,3.400000095,3.799999952,3.900000095,4.400000095,4.199999809,3.200000048,3.099999905,4,7.099999905,4.599999905,4.599999905,4.5,3.400000095,6.900000095,4.400000095,1.899999976,1.899999976,3.799999952,7.099999905,2.5,6,3.200000048,2.700000048,3,4.199999809,2.5,3.599999905,4.900000095,5.599999905,6.099999905,5.400000095,4.199999809,3.099999905,5.900000095,2.799999952
-110.1833344,41.98333359,1.200000048,2.599999905,3.099999905,2.299999952,4.099999905,1.200000048,2.5,3.5,5.199999809,2,1.5,2.900000095,4.099999905,4,3.299999952,2,1.600000024,1,3.200000048,3.799999952,2.299999952,2.700000048,3.200000048,1.399999976,2.599999905,1.5,2.5,2.200000048,2.299999952,2.099999905,5.199999809,2.5,3,4.099999905,2.200000048,2.599999905,5,4.199999809,3.900000095,5.199999809,4.199999809,4.199999809,1.399999976,1.799999952,2.599999905,3.400000095,1.700000048,3.700000048,2,3,4.199999809,4.199999809,4.400000095,3.900000095,3.200000048,3.200000048,3.900000095,4,3.799999952,1.600000024,2.900000095,3.200000048,1.899999976,2.299999952,4.099999905,3.099999905,3.400000095,4.599999905,3.099999905,1.799999952,1.799999952,2.900000095,3.5,2.599999905,3.200000048,3.400000095,4.300000191,3.700000048,2.599999905,4.199999809,6.099999905,4.900000095,2.200000048,2.700000048,2.200000048,1.799999952,2.900000095,2.799999952,1.899999976,4.300000191,2.700000048,2.400000095,1.200000048,1.700000048,2.599999905,1.899999976,2.400000095,2.599999905,2.200000048,3.099999905,5.5,4.900000095,3.599999905,4.300000191,6.099999905,6.099999905,4.599999905,1.600000024,2.299999952,3.099999905,1,2,2,2.099999905,4.5,2.700000048,3.900000095,7.699999809,7,4.5,2.599999905,2.299999952,2.299999952,2.299999952,2.700000048,3,2.5,3.200000048,2,2.700000048,0.800000012,3.5,6.599999905,5.5,4.699999809,4.900000095,4.800000191,3.900000095,7.099999905,3.299999952,1.299999952,3.099999905,3.900000095,3.599999905,2.200000048,3.200000048,4.599999905,3.900000095,3.599999905,3.299999952,3.799999952,3.700000048,4.300000191,4.099999905,3.099999905,3,3.900000095,7,4.5,4.5,4.400000095,3.299999952,6.900000095,4.400000095,1.799999952,1.899999976,3.799999952,7,2.400000095,5.900000095,3.099999905,2.5,2.900000095,4,2.299999952,3.400000095,4.699999809,5.400000095,5.900000095,5.199999809,4.199999809,3,5.599999905,2.700000048
